Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,883017,883017,10000.0,2025-09-14,1
2,125933,125933,10000.0,2025-06-21,1
3,96526,96526,10000.0,2025-12-28,1
4,23008,23008,10000.0,2025-10-07,1
5,738705,738705,10000.0,2025-08-21,1
6,54218,54218,10000.0,2025-11-07,1
7,862552,862552,10000.0,2025-11-07,1
8,29548,29548,10000.0,2025-02-27,1
9,71153,71153,10000.0,2025-05-28,1
10,427150,427150,10000.0,2025-03-14,1
11,309572,309572,10000.0,2025-02-06,1
12,733058,733058,10000.0,2025-01-27,1
13,56819,56819,10000.0,2025-05-07,1
14,216781,216781,10000.0,2025-04-07,1
15,152158,152158,10000.0,2025-03-14,1
16,491560,491560,10000.0,2025-03-07,1
17,552956,552956,10000.0,2025-02-13,1
18,976861,976861,10000.0,2025-04-14,1
19,385807,385807,10000.0,2025-01-20,1
20,757898,757898,10000.0,2025-01-27,1
21,146119,146119,10000.0,2025-07-14,1
22,510602,510602,10000.0,2025-01-13,1
23,533431,533431,10000.0,2025-05-21,1
24,237869,237869,10000.0,2025-05-07,1
25,789538,789538,10000.0,2025-12-28,1
26,245881,245881,10000.0,2025-04-07,1
27,323465,323465,10000.0,2025-09-28,1
28,108536,108536,10000.0,2025-06-14,1
29,153638,153638,10000.0,2025-01-13,1
30,148859,148859,10000.0,2025-09-21,1
31,574176,574176,10000.0,2025-11-21,1
32,315114,315114,10000.0,2025-01-27,1
33,215896,215896,10000.0,2025-08-28,1
34,372662,372662,10000.0,2025-05-14,1
35,539739,539739,10000.0,2025-07-07,1
36,402501,402501,10000.0,2025-03-14,1
37,864385,864385,10000.0,2025-05-14,1
38,134320,134320,10000.0,2025-11-14,1
39,751451,751451,10000.0,2025-12-14,1
40,396622,396622,10000.0,2025-11-07,1
41,145447,145447,10000.0,2025-09-07,1
42,792328,792328,10000.0,2025-02-20,1
43,223860,223860,10000.0,2025-04-07,1
44,83790,83790,10000.0,2025-08-07,1
45,711195,711195,10000.0,2025-03-28,1
46,211008,211008,10000.0,2025-03-21,1
47,901036,901036,10000.0,2025-09-07,1
48,883429,883429,10000.0,2025-02-06,1
49,684504,684504,10000.0,2025-08-21,1
50,142466,142466,10000.0,2025-06-21,1
51,593114,593114,10000.0,2025-02-13,1
52,327301,327301,10000.0,2025-10-14,1
53,617755,617755,10000.0,2025-03-14,1
54,159284,159284,10000.0,2025-06-28,1
55,628306,628306,10000.0,2025-07-14,1
56,563331,563331,10000.0,2025-02-06,1
57,708971,708971,10000.0,2025-07-28,1
58,363857,363857,10000.0,2025-02-27,1
59,454094,454094,10000.0,2025-10-07,1
60,468438,468438,10000.0,2025-10-28,1
61,930604,930604,10000.0,2025-10-21,1
62,114436,114436,10000.0,2025-03-07,1
63,385618,385618,10000.0,2025-02-20,1
64,852413,852413,10000.0,2025-03-28,1
65,953750,953750,10000.0,2025-03-14,1
66,395390,395390,10000.0,2025-01-06,1
67,500086,500086,10000.0,2025-06-28,1
68,12113,12113,10000.0,2025-10-14,1
69,620676,620676,10000.0,2025-04-28,1
70,471440,471440,10000.0,2025-02-13,1
71,687599,687599,10000.0,2025-11-28,1
72,964033,964033,10000.0,2025-07-14,1
73,895514,895514,10000.0,2025-09-28,1
74,812503,812503,10000.0,2025-07-14,1
75,863540,863540,10000.0,2025-04-28,1
76,50914,50914,10000.0,2025-06-07,1
77,391555,391555,10000.0,2025-06-28,1
78,669290,669290,10000.0,2025-12-21,1
79,924677,924677,10000.0,2025-07-21,1
80,952074,952074,10000.0,2025-04-21,1
81,530465,530465,10000.0,2025-05-14,1
82,47059,47059,10000.0,2025-10-14,1
83,930904,930904,10000.0,2025-08-14,1
84,618198,618198,10000.0,2025-03-21,1
85,596822,596822,10000.0,2025-10-14,1
86,869132,869132,10000.0,2025-09-21,1
87,256392,256392,10000.0,2025-01-06,1
88,591861,591861,10000.0,2025-08-07,1
89,540905,540905,10000.0,2025-07-07,1
90,49621,49621,10000.0,2025-04-14,1
91,458080,458080,10000.0,2025-05-28,1
92,956791,956791,10000.0,2025-06-14,1
93,501563,501563,10000.0,2025-03-14,1
94,314000,314000,10000.0,2025-05-28,1
95,672303,672303,10000.0,2025-11-28,1
96,918759,918759,10000.0,2025-08-07,1
97,484983,484983,10000.0,2025-06-28,1
98,249155,249155,10000.0,2025-02-27,1
99,630950,630950,10000.0,2025-06-07,1
100,42080,42080,10000.0,2025-02-06,1
101,178914,178914,10000.0,2025-10-28,1
102,677600,677600,10000.0,2025-04-14,1
103,717416,717416,10000.0,2025-12-21,1
104,20935,20935,10000.0,2025-12-07,1
105,272079,272079,10000.0,2025-11-07,1
106,519387,519387,10000.0,2025-12-28,1
107,412906,412906,10000.0,2025-09-28,1
108,886455,886455,10000.0,2025-02-06,1
109,776273,776273,10000.0,2025-11-07,1
110,348149,348149,10000.0,2025-06-21,1
111,172042,172042,10000.0,2025-09-28,1
112,599279,599279,10000.0,2025-07-28,1
113,193802,193802,10000.0,2025-10-28,1
114,873999,873999,10000.0,2025-02-20,1
115,998118,998118,10000.0,2025-05-28,1
116,91640,91640,10000.0,2025-03-14,1
117,626391,626391,10000.0,2025-01-13,1
118,784235,784235,10000.0,2025-12-21,1
119,450207,450207,10000.0,2025-01-20,1
120,290455,290455,10000.0,2025-05-21,1
121,123609,123609,10000.0,2025-01-13,1
122,42332,42332,10000.0,2025-09-07,1
123,452302,452302,10000.0,2025-05-28,1
124,359395,359395,10000.0,2025-10-28,1
125,875667,875667,10000.0,2025-01-06,1
126,14870,14870,10000.0,2025-12-07,1
127,765509,765509,10000.0,2025-12-21,1
128,951347,951347,10000.0,2025-03-14,1
129,754385,754385,10000.0,2025-07-28,1
130,652195,652195,10000.0,2025-03-07,1
131,351768,351768,10000.0,2025-12-07,1
132,223592,223592,10000.0,2025-11-21,1
133,646093,646093,10000.0,2025-05-07,1
134,549582,549582,10000.0,2025-07-14,1
135,993031,993031,10000.0,2025-05-21,1
136,193658,193658,10000.0,2025-08-28,1
137,159898,159898,10000.0,2025-05-14,1
138,498474,498474,10000.0,2025-10-21,1
139,813831,813831,10000.0,2025-02-20,1
140,38014,38014,10000.0,2025-07-14,1
141,128108,128108,10000.0,2025-08-14,1
142,567661,567661,10000.0,2025-02-13,1
143,250412,250412,10000.0,2025-12-07,1
144,456218,456218,10000.0,2025-04-21,1
145,491393,491393,10000.0,2025-10-28,1
146,209510,209510,10000.0,2025-11-14,1
147,38900,38900,10000.0,2025-12-07,1
148,765727,765727,10000.0,2025-06-21,1
149,672673,672673,10000.0,2025-04-21,1
150,360076,360076,10000.0,2025-04-14,1
151,277043,277043,10000.0,2025-04-28,1
152,435773,435773,10000.0,2025-02-27,1
153,640271,640271,10000.0,2025-01-06,1
154,97201,97201,10000.0,2025-06-07,1
155,867250,867250,10000.0,2025-04-14,1
156,483203,483203,10000.0,2025-08-28,1
157,44516,44516,10000.0,2025-10-28,1
158,343038,343038,10000.0,2025-11-21,1
159,212587,212587,10000.0,2025-04-14,1
160,475780,475780,10000.0,2025-05-07,1
161,647170,647170,10000.0,2025-03-21,1
162,555720,555720,10000.0,2025-09-14,1
163,273954,273954,10000.0,2025-10-14,1
164,886622,886622,10000.0,2025-08-14,1
165,409360,409360,10000.0,2025-10-07,1
166,495904,495904,10000.0,2025-03-28,1
167,679123,679123,10000.0,2025-06-07,1
168,639917,639917,10000.0,2025-11-14,1
169,680715,680715,10000.0,2025-03-21,1
170,401726,401726,10000.0,2025-04-28,1
171,484693,484693,10000.0,2025-04-07,1
172,351598,351598,10000.0,2025-08-21,1
173,878954,878954,10000.0,2025-08-21,1
174,59920,59920,10000.0,2025-09-14,1
175,322543,322543,10000.0,2025-11-21,1
176,196770,196770,10000.0,2025-10-14,1
177,821842,821842,10000.0,2025-06-07,1
178,342488,342488,10000.0,2025-08-07,1
179,677676,677676,10000.0,2025-12-21,1
180,783944,783944,10000.0,2025-07-28,1
181,731771,731771,10000.0,2025-05-21,1
182,578240,578240,10000.0,2025-04-21,1
183,775245,775245,10000.0,2025-05-14,1
184,170178,170178,10000.0,2025-09-07,1
185,561602,561602,10000.0,2025-12-07,1
186,94431,94431,10000.0,2025-04-07,1
187,582035,582035,10000.0,2025-11-14,1
188,841539,841539,10000.0,2025-08-21,1
189,432017,432017,10000.0,2025-05-07,1
190,751098,751098,10000.0,2025-07-14,1
191,382366,382366,10000.0,2025-01-06,1
192,959485,959485,10000.0,2025-11-21,1
193,248966,248966,10000.0,2025-04-14,1
194,692591,692591,10000.0,2025-05-21,1
195,622430,622430,10000.0,2025-02-27,1
196,136886,136886,10000.0,2025-07-21,1
197,124386,124386,10000.0,2025-08-07,1
198,316846,316846,10000.0,2025-07-21,1
199,72145,72145,10000.0,2025-05-14,1
200,14926,14926,10000.0,2025-04-14,1
201,367314,367314,10000.0,2025-12-28,1
202,19439,19439,10000.0,2025-02-06,1
203,797702,797702,10000.0,2025-03-28,1
204,632508,632508,10000.0,2025-02-27,1
205,796227,796227,10000.0,2025-04-21,1
206,217399,217399,10000.0,2025-10-07,1
207,679316,679316,10000.0,2025-02-20,1
208,108384,108384,10000.0,2025-11-14,1
209,765622,765622,10000.0,2025-06-07,1
210,783291,783291,10000.0,2025-03-07,1
211,79324,79324,10000.0,2025-03-28,1
212,927653,927653,10000.0,2025-01-06,1
213,794795,794795,10000.0,2025-01-13,1
214,260741,260741,10000.0,2025-01-20,1
215,430348,430348,10000.0,2025-04-07,1
216,646618,646618,10000.0,2025-06-28,1
217,780402,780402,10000.0,2025-07-28,1
218,668812,668812,10000.0,2025-05-07,1
219,726370,726370,10000.0,2025-03-21,1
220,900477,900477,10000.0,2025-03-28,1
221,172140,172140,10000.0,2025-02-13,1
222,859727,859727,10000.0,2025-09-14,1
223,989536,989536,10000.0,2025-12-28,1
224,53866,53866,10000.0,2025-11-07,1
225,262899,262899,10000.0,2025-01-06,1
226,412008,412008,10000.0,2025-11-21,1
227,208339,208339,10000.0,2025-03-28,1
228,266746,266746,10000.0,2025-06-21,1
229,804645,804645,10000.0,2025-07-14,1
230,329641,329641,10000.0,2025-03-07,1
231,195856,195856,10000.0,2025-09-14,1
232,385243,385243,10000.0,2025-10-21,1
233,85550,85550,10000.0,2025-07-28,1
234,696308,696308,10000.0,2025-05-14,1
235,635900,635900,10000.0,2025-03-14,1
236,995590,995590,10000.0,2025-10-14,1
237,178903,178903,10000.0,2025-03-21,1
238,348560,348560,10000.0,2025-08-14,1
239,52325,52325,10000.0,2025-05-28,1
240,920729,920729,10000.0,2025-06-21,1
241,452958,452958,10000.0,2025-06-21,1
242,291778,291778,10000.0,2025-12-14,1
243,494506,494506,10000.0,2025-12-21,1
244,866269,866269,10000.0,2025-07-07,1
245,526725,526725,10000.0,2025-07-07,1
246,548019,548019,10000.0,2025-06-14,1
247,733722,733722,10000.0,2025-01-27,1
248,886728,886728,10000.0,2025-11-14,1
249,324104,324104,10000.0,2025-07-28,1
250,342186,342186,10000.0,2025-12-21,1
